36,126
36,105
36,51
36,86
36,37
36,48
36,89
36,85
36,113
36,51
36,54
36,106
36,133
36,135
36,136
36,64
36,128
36,114
36,65
36,102
36,121
36,136
36,72
37,46
37,75
37,127
37,89
37,90
37,116
37,125
37,96
37,135
37,96
37,114
37,118
37,105
37,39
37,101
37,50
37,95
37,134
37,117
37,64
38,103
38,53
38,98
38,70
38,50
38,85
38,78
38,67
38,116
38,57
38,136
38,101
38,64
38,88
38,59
38,103
38,84
38,79
38,82
38,130
38,101
38,86
38,53
38,127
39,132
39,83
39,92
39,95
39,42
39,114
39,125
39,111
39,76
39,103
39,94
39,54
39,41
39,94
39,64
39,69
39,46
39,46
39,95
40,127
40,96
40,60
40,95
40,64
40,75
40,52
40,108
40,77
40,133
40,38
40,62
40,128
40,36
40,113
40,54
40,119
40,55
40,79
40,82
40,69
40,131
40,123
40,42
41,70
41,108
41,62
41,55
41,133
41,136
41,96
41,112
41,44
41,86
41,54
41,133
41,119
41,103
41,59
41,129
42,52
42,53
42,100
42,54
42,87
42,41
42,40
42,51
42,91
42,66
42,118
42,84
42,105
42,100
42,68
42,69
42,101
43,65
43,118
43,103
43,106
43,83
43,131
43,115
43,66
43,108
43,86
43,59
43,115
43,69
43,83
43,51
43,85
43,96
43,83
44,130
44,36
44,36
44,123
44,46
44,85
44,86
44,42
44,102
44,126
44,103
44,114
44,71
44,121
44,70
44,42
44,127
44,115
45,76
45,84
45,121
45,93
45,131
45,123
45,128
45,82
45,96
45,131
45,118
45,121
45,49
45,91
45,92
45,104
45,119
45,89
45,77
45,122
45,102
45,84
45,110
45,43
45,71
46,114
46,59
46,92
46,86
46,119
46,132
46,56
46,59
46,94
46,89
46,83
46,56
46,94
46,63
46,109
47,114
47,65
47,114
47,83
47,62
47,60
47,128
47,111
47,133
47,113
47,110
47,40
47,110
47,96
47,61
48,54
48,50
48,52
48,42
48,52
48,74
48,118
48,123
48,90
48,73
48,69
48,46
48,70
48,122
48,126
48,49
48,80
48,136
48,100
48,122
49,94
49,64
49,58
49,77
49,43
49,93
49,45
49,50
49,75
49,58
49,67
49,79
49,50
49,59
49,59
49,40
49,111
49,41
49,36
49,66
49,118
49,45
50,56
50,49
50,36
50,64
50,97
50,118
50,84
50,52
50,69
